sample,group,metric,endpoint,obs,null_mean,null_std,p_emp,Z_robust,n_perm,n_spots,n_edges,trace_L,tissue_area,tumor_frac
HCC6NR,NR,E_B,per_traceL,0.04648605949041707,0.06724035556952936,9.963139718031578e-16,1.0,-inf,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_B,per_traceL,0.004500864287302785,0.004974245852478155,0.008641204579731068,0.22427757224277572,0.7578260178998322,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_CAF,per_traceL,0.36525095679333497,0.033632436816853996,1.3085990455004448e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_CAF,per_traceL,0.10246172591944355,0.02893865936377923,1.4362174917140576e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_CAF,per_traceL,0.3834440692174083,0.04364435842317727,1.2507134426948276e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_CAF,per_traceL,0.6717555583511495,0.0313383823575679,0.0033060067515724273,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_CAF,per_traceL,0.0007601632979175975,0.0004373397193052133,0.000904750534370024,0.10868913108689131,1.2335295412389284,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_CAF,per_traceL,0.3896723271976845,0.030148759632581856,1.7997862319983684e-16,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_CAF,per_traceL,0.019119478533655317,0.008288320346773868,0.011313862752061688,0.14998500149985,1.0364977190484002,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_CYTO,per_traceL,0.17297730688074697,0.019817527140872624,1.0774911988114755e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_CYTO,per_traceL,0.07960298798281408,0.03529852865427718,1.7877635631040822e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_CYTO,per_traceL,0.39609297595619547,0.03758641262927409,1.3871430324801322e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_CYTO,per_traceL,1.4472291345844062,0.0369812267050307,0.005229044243756561,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_CYTO,per_traceL,0.025972152166380307,0.02377003444331315,0.0016198900147502764,0.1260873912608739,1.1450829863944811,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_CYTO,per_traceL,0.04976223192752946,0.06352612600387042,6.417894567733569e-16,1.0,-inf,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_CYTO,per_traceL,0.02574738967782831,0.026836136749923988,0.0024586577611708433,0.5964403559644036,-0.24414401062749283,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_ENDO,per_traceL,0.1085810449490003,0.025656475379354525,1.3264600463376257e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_ENDO,per_traceL,0.02210896096352565,0.021536572491708435,2.3570248291896976e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_ENDO,per_traceL,0.5002653429717501,0.02961198398466738,1.180206517853661e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_ENDO,per_traceL,0.7356137638499213,0.026645147031754652,0.0032609223695551238,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
HCC5NR,NR,E_ENDO,per_traceL,0.013584414836672932,0.007728026173277385,0.007497872436683406,0.14878512148785122,1.0416580537062698,10000,1320,10142,20284.0,1215773.0,0.3902165004171653
HCC6NR,NR,E_ENDO,per_traceL,0.31909341567298954,0.015454094899437288,2.292905827541954e-16,9.999000099990002e-05,3.7190417463402357,10000,2575,20757,41514.0,8665060.5,0.3818030668974612
HCC7NR,NR,E_ENDO,per_traceL,0.02563529227984935,0.011904385331337301,0.014782744633224909,0.1621837816218378,0.9855223406190212,10000,2453,18692,37384.0,9151844.5,0.44557220926256585
HCC1R,R,E_TAM,per_traceL,0.2721054149458864,0.049030521136904225,1.3219554462462537e-16,9.999000099990002e-05,3.7190417463402357,10000,3006,25551,51102.0,1952889.0,0.290778402730058
HCC2R,R,E_TAM,per_traceL,0.9297614925733321,0.06836462555993855,1.6105404444380727e-16,9.999000099990002e-05,3.7190417463402357,10000,2766,22889,45778.0,7070947.999999999,0.27709775303526285
HCC3R,R,E_TAM,per_traceL,0.3160071361216444,0.03444528435481344,1.1560711610255575e-16,9.999000099990002e-05,3.7190417463402357,10000,2170,17192,34384.0,1531981.9999999998,0.3639955245256927
HCC4R,R,E_TAM,per_traceL,1.2750791391711496,0.03273524040357068,0.004313553026226029,9.999000099990002e-05,3.7190417463402357,10000,3002,24347,48694.0,2189158.5,0.3369104981638687
