diff_R_minus_NR,program_key,program_label,iter
-0.06181979198036369,exhaustion,exhaustion,241
-0.06665177659311573,exhaustion,exhaustion,242
-0.08619179697183439,exhaustion,exhaustion,243
-0.0709042817382298,exhaustion,exhaustion,244
-0.08619179697183439,exhaustion,exhaustion,245
-0.08347666802509693,exhaustion,exhaustion,246
-0.07506888689477921,exhaustion,exhaustion,247
-0.07255385660961779,exhaustion,exhaustion,248
-0.07081911504870443,exhaustion,exhaustion,249
-0.07427079022724516,exhaustion,exhaustion,250
-0.0709042817382298,exhaustion,exhaustion,251
-0.08619179697183439,exhaustion,exhaustion,252
-0.05949451115216918,exhaustion,exhaustion,253
-0.07792865659161972,exhaustion,exhaustion,254
-0.07411320234918464,exhaustion,exhaustion,255
-0.06665177659311573,exhaustion,exhaustion,256
-0.07427079022724516,exhaustion,exhaustion,257
-0.07506888689477921,exhaustion,exhaustion,258
-0.07427079022724516,exhaustion,exhaustion,259
-0.07427079022724516,exhaustion,exhaustion,260
-0.07506888689477921,exhaustion,exhaustion,261
-0.07255385660961779,exhaustion,exhaustion,262
-0.07506888689477921,exhaustion,exhaustion,263
-0.07506888689477921,exhaustion,exhaustion,264
-0.06665177659311573,exhaustion,exhaustion,265
-0.07427079022724516,exhaustion,exhaustion,266
-0.07792865659161972,exhaustion,exhaustion,267
-0.06665177659311573,exhaustion,exhaustion,268
-0.07448048308417625,exhaustion,exhaustion,269
-0.08195437275580733,exhaustion,exhaustion,270
-0.06181979198036369,exhaustion,exhaustion,271
-0.08347666802509693,exhaustion,exhaustion,272
-0.06828951372341927,exhaustion,exhaustion,273
-0.07081911504870443,exhaustion,exhaustion,274
-0.0709042817382298,exhaustion,exhaustion,275
-0.08619179697183439,exhaustion,exhaustion,276
-0.08619179697183439,exhaustion,exhaustion,277
-0.08347666802509693,exhaustion,exhaustion,278
-0.07255385660961779,exhaustion,exhaustion,279
-0.06665177659311573,exhaustion,exhaustion,280
-0.07792865659161972,exhaustion,exhaustion,281
-0.07255385660961779,exhaustion,exhaustion,282
